,Date,Open,High,Low,Close,Adj Close,Volume,MACD,CCI,ATR,upper,middle,lower,EMA,MA5,MA10,ROC,SMI
0,2014-09-17,465.86401399999994,468.174011,452.421997,457.334015,457.334015,21056800.0,,,,,,,,,,,
1,2014-09-18,456.85998499999994,456.85998499999994,413.10400400000003,424.44000199999994,424.44000199999994,34483200.0,,,,,,,,,,,
2,2014-09-19,424.10299699999996,427.834991,384.532013,394.79599,394.79599,37919700.0,,,,,,,,,,,
3,2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,36863600.0,,,,,,,,,,,
4,2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,26580100.0,,,,462.2120702541346,416.8590026,371.5059349458654,,416.8590026,,,
5,2014-09-22,399.100006,406.91598500000003,397.130005,402.152008,402.152008,24127600.0,,,,426.6107557910228,405.8226012,385.0344466089772,,405.8226012,,,
6,2014-09-23,402.09201,441.55700700000006,396.196991,435.790985,435.790985,45099500.0,,,,437.294327433196,408.0927978000001,378.8912681668042,,408.0927978000001,,,
7,2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,30627700.0,,,,441.43063608896944,413.7745972000001,386.1185583110307,,413.7745972000001,,,
8,2014-09-25,423.15600599999993,423.51998899999995,409.467987,411.574005,411.574005,26814400.0,,,,441.66936917394776,414.3085998,386.9478304260523,,414.3085998,,,64.13151322490857
9,2014-09-26,411.428986,414.93798799999996,400.009003,404.424988,404.424988,21460800.0,,,,440.526074688017,415.42939459999997,390.33271451198294,,415.42939459999997,416.1441986,,40.21508359369446
10,2014-09-27,403.556,406.62298599999997,397.372009,399.519989,399.519989,15029300.0,,,,441.17447916463794,414.90299079999994,388.63150243536194,,414.90299079999994,410.362796,-12.641532032118807,21.162023947145453
11,2014-09-28,399.471008,401.016998,374.332001,377.181,377.181,23613300.0,,,,433.67496823420885,403.18099379999995,372.68701936579106,,403.18099379999995,405.6368958,-11.134436381422875,10.025556921483783
12,2014-09-29,376.928009,385.210999,372.23999,375.46701,375.46701,32497700.0,,,,422.9410738557618,393.6333983999999,364.32572294423807,,393.6333983999999,403.70399779999997,-4.895941318958174,6.076764936968569
13,2014-09-30,376.088013,390.97699,373.442993,386.944,386.944,34707300.0,,-103.50654285953905,,411.949257175725,388.70739739999993,365.4655376242749,,388.70739739999993,401.50799859999995,-5.3704518492448505,15.113899756259988
14,2014-10-01,387.427002,391.378998,380.77999900000003,383.61499,383.61499,26229400.0,,-94.44993610873362,22.595567928571434,401.6920315874113,384.54539779999993,367.3987640125886,,384.54539779999993,399.9873962,-3.8127439292855336,24.60446320733673
